Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
47	-155.8667	31.801468	-124.06523	-187.66817	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-37.049164	2.4153357	-32.47052	-39.399677	-0.00050497823	0.0012067517	0.0004887215	-0.0041514565	4.053116e-09	-0.015194999	2.1245796e-12	-3.3472784e-06	144.02055	-76.34007	2.7599336e-07	-2.343772e-07	0	0	79.0	3.6697412	0.01083115	48000	260.5133183002472
48	-134.28258	38.34944	-95.933136	-172.63202	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-33.833008	0.12904577	-33.62036	-33.977303	-0.00048023247	0.00064687646	0.00059793546	-0.0014447381	-1.5616417e-08	-0.020418707	2.9685907e-12	3.0136954e-07	114.802826	-52.290607	4.0228576e-07	-3.8418074e-07	0	0	79.0	3.7572906	0.011997197	49000	266.33608841896057
49	-166.92361	79.76977	-87.15385	-246.69337	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-28.560009	0.14293236	-28.346209	-28.898502	0.00035209392	0.0002755371	0.0008984854	-0.0005915861	6.446243e-08	-0.0051708063	-1.36788e-12	-6.841043e-07	199.68867	-59.991394	1.7255141e-07	-1.4027566e-07	0	0	7.0	3.8135734	0.012913866	50000	272.02830028533936
50	-155.41855	129.20154	-26.217003	-284.6201	0.0	0.0	0.0	0.0	303.0	0.0	0.0	-30.398813	1.7006276	-26.135756	-32.71152	-0.00039280092	0.00040939357	0.00086741685	-0.0010769048	4.7683717e-08	-0.0044666994	3.0267984e-12	-1.408546e-06	702.8699	-380.91214	1.8042115e-07	-5.149802e-08	0	0	5.0	3.8184042	0.019564202	51000	278.00819873809814
51	-212.99345	120.76195	-92.231514	-333.7554	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-42.008297	1.2386303	-39.841293	-43.410576	-0.00062637054	0.00017656156	-0.00024161255	-0.00097088655	-8.5532665e-09	-0.015092594	-1.6298146e-12	8.125347e-08	405.586	-223.43616	2.2901638e-07	-2.1596733e-07	0	0	79.0	3.822286	0.008366692	52000	283.8838872909546
52	-201.80302	164.94557	-36.857445	-366.7486	0.0	0.0	0.0	0.0	320.5	0.0	0.0	-32.04627	21.081976	6.552601	-48.696957	-0.000540594	0.0005113094	0.0006062258	-0.001624438	-2.2292138e-08	-0.005897002	-4.8748917e-12	-1.4306272e-06	634.68585	-256.38718	5.366677e-07	-5.1634777e-07	0	0	6.0	3.7615378	0.018254157	53000	289.87852787971497
53	-80.10108	36.17679	-43.924297	-116.27787	0.0	0.0	0.0	0.0	328.0	0.0	0.0	-29.129816	13.204138	-8.143299	-53.219875	0.000547364	0.00056605786	0.0018251014	-0.00035261526	2.6226044e-08	-0.005465633	8.0035533e-13	-6.044144e-07	59.09999	-47.12406	2.0132376e-07	-1.6635579e-07	0	0	6.0	3.760252	0.013437249	54000	296.05515027046204
54	-66.538155	44.692497	-21.845657	-111.23065	0.0	0.0	0.0	0.0	304.5	0.0	0.0	-14.944357	4.2257757	-7.4294662	-25.498938	-0.00049944	0.0014152378	0.001143309	-0.003527126	7.867813e-09	-0.0072761453	6.9303495e-12	-2.3915557e-06	47.820805	-19.474985	7.1774036e-07	-6.533623e-07	0	0	8.0	3.7595842	0.014518602	55000	302.1212944984436
55	-146.75212	22.733677	-124.01844	-169.4858	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-20.35093	2.479794	-16.710644	-24.185766	0.0014042207	0.0015099955	0.0040075206	-0.0010464073	-5.984306e-08	-0.0050893268	1.0477379e-12	2.1616074e-06	135.44069	-106.33381	1.5129003e-06	-1.3683161e-06	0	0	5.0	3.7607417	0.013341427	56000	308.00182008743286
56	-138.45331	5.7353287	-132.71797	-144.18863	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-31.798485	11.630363	-23.104532	-54.82201	-0.0009361495	0.003873968	0.005414398	-0.0062540923	-7.152557e-09	-0.014282879	4.892354e-11	4.289973e-07	59.757343	-40.514214	7.453075e-06	-6.564242e-06	0	0	79.0	3.762041	0.010291842	57000	314.1205143928528
